number_street,suite_apt,city,notes,postal_code,country,entity,id
1901 North Midwest Boulevard,,Edmond,OK,73034,USA,,132
1536 North Main Street,,Salinas,CA,93906,USA,,133
33 Linscott Road,,Hingham,MA,2043,USA,,134
1732 27th Avenue,,Oakland,CA,94601,USA,,135
22 Gallatin Street Northeast,,Washington,DC,20011,USA,,136
8125 Glynnwood Drive,,Montgomery,AL,36117,USA,,137
2139 Glynnwood Drive,,Savannah,GA,31404,USA,,138
14 School Street,,Medway,MA,2053,USA,,139
264 Crest Drive,,Soldotna,AK,99669,USA,,140
307 Joel Street,,Pooler,GA,31322,USA,,141
188 River Road,,Essex,VT,5452,USA,,142
1643 Oxford Street,R C,Berkeley,CA,94709,USA,,143
5545 Saddlewood Lane,,Brentwood,TN,37027,USA,,144
26466 Mockingbird Lane,,Hayward,CA,94544,USA,,145
4840 Reservoir Road Northwest,,Washington,DC,20007,USA,,146
599 Cambridge Street,#303,Cambridge,MA,2141,USA,,147
584 Rural Hill Road,,Nashville,TN,37217,USA,,148
10262 West 59th Avenue,#1,Arvada,CO,80004,USA,,149
945 South 5th Street,#1020,Louisville,KY,40203,USA,,150
2543 The Meadows,,Montgomery,AL,36116,USA,,151
153 Atlantic Avenue,#6,Salisbury,MA,1952,USA,,152
9 Brooklyn Street,,,VT,5488,USA,,153
5722 8th Street Northwest,,Washington,DC,20011,USA,,154
8700 Seaton Boulevard,,Montgomery,AL,36116,USA,,155
1004 Bellflower Street,,Livermore,CA,94551,USA,,156
4738 Mallard Common,,Fremont,CA,94555,USA,,157
875 Latouche Street,#APT 001010,Anchorage,AK,99501,USA,,158
4940 Fuller Road,,Montgomery,AL,36110,USA,,159
5754 Belleau Drive,,Montgomery,AL,36117,USA,,160
1403 Lincoln Street,,Savannah,GA,31401,USA,,161
140 South Hill Avenue,#305,Fayetteville,AR,72701,USA,,162
642 South 2nd Street,#608,Louisville,KY,40202,USA,,163
6473 Zephyr Street,,Arvada,CO,80004,USA,,164
4250 North Valley Lake Drive,#8,Fayetteville,AR,72703,USA,,165
565 North Lakeshore Drive,,Panama City Beach,FL,32413,USA,,166
5514 West Wedington Drive,#3,Fayetteville,AR,72704,USA,,167
1909 Wainwright Avenue,,Panama City,FL,32405,USA,,168
4525 West Frier Drive,,Glendale,AZ,85301,USA,,169
201 West Montgomery Cross Road,#170,Savannah,GA,31406,USA,,170
915 Heath Drive,,Montgomery,AL,36108,USA,,171
95 Briarwood Drive,,Manchester,CT,6040,USA,,172
69 Washington Street,,Manchester,CT,6042,USA,,173
2900 North Western Avenue,,Edmond,OK,73012,USA,,174
7841 West Kristal Way,,Glendale,AZ,85308,USA,,175
361 Parmley Lane,,Nashville,TN,37207,USA,,176
6120 Southeast 84th Street,,Oklahoma City,OK,73135,USA,,177
9428 North 65th Drive,,Glendale,AZ,85302,USA,,178
11 Meeting Place Circle,,Boxford,MA,1921,USA,,179
4438 Maine Avenue,,Baldwin Park,CA,91706,USA,,180
65 Jones Lane,,Montevallo,AL,35115,USA,,181
3140 Commander Drive,,Louisville,KY,40220,USA,,182
107 Guaymas Place,,Davis,CA,95616,USA,,183
6114 West Glenn Drive,#1,Glendale,AZ,85301,USA,,184
622 Thomas Street,,Woodland,CA,95776,USA,,185
127 Grand Heron Drive,,Panama City,FL,32407,USA,,186
3504 East 16th Avenue,,Anchorage,AK,99508,USA,,187
1230 Stafford Drive,,Montgomery,AL,36117,USA,,188
6007 Yarrow Street,H,Arvada,CO,80004,USA,,189
632 Belmar Drive,,Edmond,OK,73025,USA,,190
1515 Chandlee Avenue,,Panama City,FL,32405,USA,,191
10632 Admiral Court,,Oklahoma City,OK,73162,USA,,192
11655 West 81st Avenue,,Arvada,CO,80005,USA,,193
3500 Blanchard Drive Southwest,,Washington,DC,20032,USA,,194
2755 Country Drive,#244,Fremont,CA,94536,USA,,195
1850 Berryhill Place,,Montgomery,AL,36117,USA,,196
58 North U.S.A Drive,,Fayetteville,AR,72701,USA,,197
8785 Ellis Court,,Arvada,CO,80005,USA,,198
1636 Briarview Court,,Severn,MD,21144,USA,,199
12 Knox Street,,Manchester,CT,6040,USA,,200
425 Middle Turnpike East,,Manchester,CT,6040,USA,,201
2017 North Hartford Drive,,Fayetteville,AR,72701,USA,,202
5900 Upland Road,,Brooklyn Park,MD,21225,USA,,203
9331 Edison Road,,Lithia,FL,33547,USA,,204
1810 Orchard Place,,Anchorage,AK,99502,USA,,205
145 Grau Drive,,Fremont,CA,94536,USA,,206
3959 Fairlands Drive,,Pleasanton,CA,94588,USA,,207
3613 East 18th Avenue,,Anchorage,AK,99508,USA,,208
1275 South Holland Drive,,Fayetteville,AR,72704,USA,,209
109 Cambridge Station Road,,Louisville,KY,40223,USA,,210
2107 Elfen Glen,Apt B,Van Buren,AR,72956,USA,,211
8522 Ingalls Circle,,Arvada,CO,80003,USA,,212
1809 Cedar Drive,,Severn,MD,21144,USA,,213
1376 Oakland Avenue,#1,Fayetteville,AR,72703,USA,,214
4306 Bylsma Circle,,Panama City,FL,32404,USA,,215
233 Buckland Hills Drive,,Manchester,CT,6042,USA,,216
7701 Southwest 104th Street,,Oklahoma City,OK,73169,USA,,217
14003 Crossbranch Court,,Louisville,KY,40245,USA,,218
19590 East Batavia Drive,,Aurora,CO,80011,USA,,219
6424 Simms Street,#71,Arvada,CO,80004,USA,,220
718 Dutchmans Court,,Nashville,TN,37076,USA,,221
8496 Isles Court,,Pasadena,MD,21122,USA,,222
100 East Joyce Boulevard,#110,Fayetteville,AR,72703,USA,,223
9036 Calico Court,,Hesperia,CA,92344,USA,,224
2723 East Joyce Boulevard,,Fayetteville,AR,72703,USA,,225
90 Via Verde,,San Lorenzo,CA,94580,USA,,226
1015 Castle Road,,Edmond,OK,73034,USA,,227
2787 West Blackstone Crossing,,Fayetteville,AR,72704,USA,,228
3555 Alamosa Drive,,Anchorage,AK,99502,USA,,229
6231 North 59th Avenue,#35,Glendale,AZ,85301,USA,,230
311 South Panama Street,,Montgomery,AL,36107,USA,,231
3313 Daisy Trail,,Nashville,TN,37013,USA,,232
5436 Dorbrandt Street,#APT 000002,Anchorage,AK,99518,USA,,233
553 South Arlington Road,,Orange,CA,92869,USA,,234
615 Q Street Northwest,,Washington,DC,20001,USA,,235
457 Mountain Village Boulevard,#320-3,Mountain Village,CO,81435,USA,,236
144 Lauderdale Street,,Montgomery,AL,36116,USA,,237
2 Ambelwood Way,,Savannah,GA,31411,USA,,238
4113 Holiday Drive,,Panama City,FL,32408,USA,,239
2001 Van Hoose Drive,,Fayetteville,AR,72701,USA,,240
9457 Winfield Place,,Montgomery,AL,36117,USA,,241
1120 Mitchell Young Road,,Montgomery,AL,36108,USA,,242
12816 West 65th Way,,Arvada,CO,80004,USA,,243
10 Erick Road,#47,Mansfield,MA,2048,USA,,244
481 East Redbud Lane,,Fayetteville,AR,72703,USA,,245
320 Northwest 22nd Street,,Oklahoma City,OK,73103,USA,,246
33 South Hill Avenue,#306,Fayetteville,AR,72701,USA,,247
355 Gillette Road,,Nashville,TN,37211,USA,,248
151 Main Street,,Savannah,GA,31408,USA,,249
